date,time,srcIP,destIP,port,flow
2016/4/9,13:29:02,202.120.193.213,81.64.226.71,443,13300
2016/4/10,21:23:27,202.120.184.191,81.64.226.71,443,83606
2016/4/29,06:01:31,202.120.182.74,81.64.226.71,80,10078
2016/4/10,11:54:33,202.120.178.159,81.64.226.71,25,70471
2016/4/27,20:07:42,202.120.162.38,81.64.226.71,25,84094
2016/4/27,19:25:27,202.120.153.181,81.64.226.71,8080,26741
2016/4/28,10:13:57,202.120.145.80,81.64.226.71,80,95577
2016/4/15,02:24:07,202.120.141.254,81.64.226.71,8080,45464
2016/4/16,17:32:05,202.120.136.62,81.64.226.71,8080,3182
2016/4/22,01:05:33,202.120.125.177,81.64.226.71,25,66304
2016/4/11,21:35:11,202.120.114.75,81.64.226.71,443,99481
2016/4/5,03:29:19,202.120.114.256,81.64.226.71,8080,8001
2016/4/5,01:14:09,202.120.108.112,81.64.226.71,80,50069
2016/4/9,09:20:19,202.120.101.102,81.64.226.71,443,96234
2016/4/1,07:41:13,202.120.10.98,81.64.226.71,80,34858
2016/4/10,05:58:45,202.120.1.20,81.64.226.71,443,79377
2016/4/16,10:22:15,202.120.96.91,8.40.234.93,25,92684
2016/4/26,19:54:46,202.120.92.96,8.40.234.93,8080,7367
2016/4/27,01:04:06,202.120.8.237,8.40.234.93,8080,51233
2016/4/10,15:38:31,202.120.57.62,8.40.234.93,443,70441
2016/4/17,23:04:32,202.120.55.130,8.40.234.93,443,73728
2016/4/4,17:35:04,202.120.39.72,8.40.234.93,8080,14079
2016/4/15,00:09:47,202.120.253.109,8.40.234.93,443,35117
2016/4/16,09:17:11,202.120.247.230,8.40.234.93,443,99166
2016/4/14,05:48:23,202.120.24.8,8.40.234.93,443,25363
2016/4/17,07:36:43,202.120.236.214,8.40.234.93,8080,24988
2016/4/24,19:09:59,202.120.234.78,8.40.234.93,8080,95383
2016/4/24,04:49:24,202.120.233.77,8.40.234.93,8080,34284
2016/4/2,00:47:09,202.120.221.163,8.40.234.93,443,49010
2016/4/5,17:09:13,202.120.192.89,8.40.234.93,8080,33468
2016/4/20,16:10:34,202.120.175.87,8.40.234.93,8080,81749
2016/4/18,14:49:15,202.120.168.228,8.40.234.93,80,83614
2016/4/23,01:54:34,202.120.139.144,8.40.234.93,80,86319
2016/4/2,14:21:40,202.120.136.182,8.40.234.93,8080,27959
2016/4/23,11:34:29,202.120.129.87,8.40.234.93,8080,27649
2016/4/17,00:28:34,202.120.123.215,8.40.234.93,80,82695
2016/4/6,04:54:25,202.120.121.151,8.40.234.93,80,34022
2016/4/3,02:56:13,202.120.115.204,8.40.234.93,80,62583
2016/4/4,10:13:47,202.120.115.1,8.40.234.93,80,39598
2016/4/19,20:19:50,202.120.109.151,8.40.234.93,8080,95861
2016/4/1,03:54:40,202.120.1.101,8.40.234.93,80,27590
2016/4/15,14:11:12,202.120.64.95,8.111.139.203,25,19540
2016/4/30,21:30:21,202.120.50.31,8.111.139.203,8080,4616
2016/4/17,15:55:30,202.120.5.23,8.111.139.203,8080,80865
2016/4/24,03:12:18,202.120.3.39,8.111.139.203,25,61825
2016/4/22,16:32:23,202.120.27.244,8.111.139.203,80,55985
2016/4/12,19:07:46,202.120.248.233,8.111.139.203,443,52803
2016/4/20,17:28:06,202.120.248.22,8.111.139.203,443,98754
2016/4/21,10:40:58,202.120.214.166,8.111.139.203,8080,73655
2016/4/23,17:04:35,202.120.212.227,8.111.139.203,8080,52551
2016/4/20,03:15:24,202.120.209.197,8.111.139.203,443,82679
2016/4/23,08:02:21,202.120.205.201,8.111.139.203,80,33643
2016/4/8,15:00:51,202.120.204.228,8.111.139.203,25,33524
2016/4/17,18:56:38,202.120.19.92,8.111.139.203,8080,92910
2016/4/20,10:13:09,202.120.154.191,8.111.139.203,443,268
2016/4/28,21:37:03,202.120.146.98,8.111.139.203,443,87540
2016/4/7,20:24:38,202.120.133.253,8.111.139.203,443,27774
2016/4/13,16:02:33,202.120.119.193,8.111.139.203,80,72821
2016/4/8,17:20:00,202.120.117.194,8.111.139.203,80,94122
2016/4/23,09:43:28,202.120.115.31,8.111.139.203,443,42847
2016/4/9,07:18:54,202.120.90.205,78.197.215.201,443,26706
2016/4/4,05:59:39,202.120.90.197,78.197.215.201,80,28308
2016/4/21,11:11:57,202.120.74.18,78.197.215.201,8080,34551
2016/4/16,03:24:52,202.120.7.65,78.197.215.201,8080,36686
2016/4/17,00:34:16,202.120.66.54,78.197.215.201,8080,76338
2016/4/29,23:29:34,202.120.62.215,78.197.215.201,8080,37069
2016/4/29,11:17:12,202.120.61.164,78.197.215.201,80,65204
2016/4/28,00:13:43,202.120.58.41,78.197.215.201,443,83165
2016/4/17,17:45:23,202.120.56.162,78.197.215.201,80,78170
2016/4/11,14:39:51,202.120.38.104,78.197.215.201,443,61043
2016/4/20,05:54:52,202.120.34.191,78.197.215.201,443,49250
2016/4/11,14:53:10,202.120.254.95,78.197.215.201,8080,73428
2016/4/6,21:52:55,202.120.227.176,78.197.215.201,25,51226
2016/4/16,19:43:17,202.120.226.19,78.197.215.201,80,54147
2016/4/28,01:37:42,202.120.208.116,78.197.215.201,80,35198
2016/4/3,12:50:56,202.120.18.151,78.197.215.201,443,50746
2016/4/4,06:18:23,202.120.178.104,78.197.215.201,8080,20316
2016/4/15,05:00:35,202.120.167.67,78.197.215.201,8080,79927
2016/4/22,14:04:43,202.120.133.164,78.197.215.201,80,83503
2016/4/30,11:05:49,202.120.125.135,78.197.215.201,25,38847
2016/4/12,21:57:03,202.120.93.7,76.73.182.178,8080,70187
2016/4/23,19:18:00,202.120.87.110,76.73.182.178,80,86064
2016/4/24,01:09:07,202.120.73.12,76.73.182.178,8080,65334
2016/4/6,04:31:23,202.120.72.28,76.73.182.178,80,92740
2016/4/16,15:36:03,202.120.69.41,76.73.182.178,80,16507
2016/4/28,15:57:36,202.120.36.63,76.73.182.178,8080,54668
2016/4/15,16:42:40,202.120.255.14,76.73.182.178,25,73823
2016/4/22,15:41:40,202.120.234.171,76.73.182.178,80,78298
2016/4/2,18:45:49,202.120.233.221,76.73.182.178,80,35464
2016/4/21,11:05:49,202.120.232.18,76.73.182.178,80,83950
2016/4/25,07:28:23,202.120.23.244,76.73.182.178,443,64432
2016/4/14,15:49:39,202.120.227.145,76.73.182.178,443,14011
2016/4/10,04:06:21,202.120.175.236,76.73.182.178,443,74145
2016/4/2,13:41:22,202.120.173.216,76.73.182.178,443,95262
2016/4/27,11:38:52,202.120.171.14,76.73.182.178,443,75002
2016/4/19,18:20:14,202.120.163.45,76.73.182.178,8080,85957
2016/4/18,03:05:40,202.120.154.203,76.73.182.178,443,68620
2016/4/9,10:39:10,202.120.143.230,76.73.182.178,443,33456
2016/4/11,08:46:01,202.120.141.1,76.73.182.178,80,88784
2016/4/22,19:43:11,202.120.117.207,76.73.182.178,443,69897
2016/4/25,13:44:58,202.120.112.222,76.73.182.178,8080,90705
2016/4/5,14:06:09,202.120.108.40,76.73.182.178,80,81898
2016/4/6,01:26:03,202.120.102.218,76.73.182.178,8080,68710
2016/4/17,14:32:56,202.120.1.26,76.73.182.178,443,18995
2016/4/26,23:15:22,202.120.98.215,75.80.198.38,80,46473
2016/4/28,01:07:05,202.120.95.125,75.80.198.38,8080,4796
2016/4/2,02:04:18,202.120.90.184,75.80.198.38,443,20237
2016/4/5,16:50:35,202.120.9.88,75.80.198.38,8080,95580
2016/4/5,23:15:53,202.120.7.242,75.80.198.38,80,65388
2016/4/22,05:21:50,202.120.54.133,75.80.198.38,80,1697
2016/4/12,05:57:59,202.120.45.162,75.80.198.38,8080,15081
2016/4/17,10:12:22,202.120.45.152,75.80.198.38,25,25111
2016/4/3,05:17:21,202.120.45.141,75.80.198.38,80,34692
2016/4/17,15:46:39,202.120.29.226,75.80.198.38,80,43179
2016/4/16,22:07:39,202.120.249.146,75.80.198.38,8080,3116
2016/4/14,17:04:38,202.120.24.90,75.80.198.38,80,64590
2016/4/9,19:54:23,202.120.226.184,75.80.198.38,80,59413
2016/4/10,18:45:45,202.120.214.24,75.80.198.38,443,68167
2016/4/11,20:41:26,202.120.186.233,75.80.198.38,25,39961
2016/4/22,09:01:39,202.120.182.251,75.80.198.38,8080,84784
2016/4/8,13:25:53,202.120.162.115,75.80.198.38,80,70910
2016/4/26,10:00:15,202.120.15.46,75.80.198.38,8080,95507
2016/4/19,04:56:25,202.120.132.109,75.80.198.38,8080,24721
2016/4/10,19:15:44,202.120.131.225,75.80.198.38,8080,57952
2016/4/21,19:51:20,202.120.131.209,75.80.198.38,443,46357
2016/4/16,06:01:41,202.120.115.246,75.80.198.38,25,19098
2016/4/19,13:14:22,202.120.110.127,75.80.198.38,25,40592
2016/4/29,05:22:24,202.120.99.110,75.138.115.9,443,20342
2016/4/15,06:00:39,202.120.81.226,75.138.115.9,80,17003
2016/4/12,00:45:33,202.120.71.246,75.138.115.9,80,74461
2016/4/11,20:10:14,202.120.52.207,75.138.115.9,80,67636
2016/4/5,00:45:06,202.120.41.151,75.138.115.9,8080,92662
2016/4/27,05:51:49,202.120.36.174,75.138.115.9,25,4485
2016/4/24,18:49:51,202.120.28.195,75.138.115.9,8080,24860
2016/4/22,19:27:33,202.120.254.205,75.138.115.9,80,87706
2016/4/19,08:50:25,202.120.234.138,75.138.115.9,443,75852
2016/4/1,08:03:45,202.120.230.74,75.138.115.9,8080,51939
2016/4/27,02:41:45,202.120.229.99,75.138.115.9,25,89101
2016/4/22,02:45:26,202.120.227.107,75.138.115.9,25,54953
2016/4/1,14:18:29,202.120.219.204,75.138.115.9,8080,89483
2016/4/3,09:05:50,202.120.210.147,75.138.115.9,8080,81605
2016/4/15,05:13:05,202.120.21.112,75.138.115.9,25,4543
2016/4/17,06:31:12,202.120.200.11,75.138.115.9,8080,66474
2016/4/24,14:29:44,202.120.160.6,75.138.115.9,80,64238
2016/4/24,08:13:48,202.120.158.25,75.138.115.9,8080,28604
2016/4/13,19:24:58,202.120.153.218,75.138.115.9,8080,75518
2016/4/15,06:40:30,202.120.149.92,75.138.115.9,80,18654
2016/4/16,04:36:25,202.120.108.136,75.138.115.9,80,4103
2016/4/13,21:51:37,202.120.101.125,75.138.115.9,443,33645
2016/4/1,01:01:15,202.120.74.48,73.56.163.57,25,1691
2016/4/1,07:43:20,202.120.62.189,73.56.163.57,25,51132
2016/4/6,21:59:03,202.120.61.152,73.56.163.57,25,72546
2016/4/13,22:01:35,202.120.41.99,73.56.163.57,8080,55753
2016/4/20,02:06:48,202.120.37.187,73.56.163.57,443,30838
2016/4/1,08:22:03,202.120.33.56,73.56.163.57,8080,52341
2016/4/29,14:41:39,202.120.28.221,73.56.163.57,8080,20587
2016/4/28,09:00:14,202.120.253.73,73.56.163.57,8080,27662
2016/4/17,23:17:01,202.120.241.35,73.56.163.57,8080,85613
2016/4/20,08:16:14,202.120.240.181,73.56.163.57,25,60772
2016/4/11,00:53:09,202.120.190.101,73.56.163.57,443,38867
2016/4/8,14:41:18,202.120.177.165,73.56.163.57,25,14884
2016/4/6,08:14:37,202.120.156.125,73.56.163.57,8080,79184
2016/4/1,22:24:44,202.120.154.205,73.56.163.57,80,10777
2016/4/18,04:55:34,202.120.127.46,73.56.163.57,443,45407
2016/4/29,13:11:16,202.120.108.108,73.56.163.57,80,28300
2016/4/7,04:43:04,202.120.96.220,73.201.98.219,443,70664
2016/4/17,23:23:30,202.120.7.159,73.201.98.219,25,21513
2016/4/15,17:11:08,202.120.250.21,73.201.98.219,443,18631
2016/4/5,07:32:14,202.120.210.55,73.201.98.219,443,7590
2016/4/25,00:00:04,202.120.208.134,73.201.98.219,443,65522
2016/4/30,20:13:47,202.120.207.70,73.201.98.219,8080,89902
2016/4/20,08:00:17,202.120.198.69,73.201.98.219,80,84249
2016/4/27,09:57:39,202.120.19.70,73.201.98.219,80,40364
2016/4/5,19:03:26,202.120.186.33,73.201.98.219,443,56556
2016/4/21,03:59:00,202.120.185.13,73.201.98.219,443,35470
2016/4/16,06:19:03,202.120.184.74,73.201.98.219,8080,23426
2016/4/22,08:15:43,202.120.173.68,73.201.98.219,80,57737
2016/4/15,05:07:34,202.120.165.160,73.201.98.219,443,81817
2016/4/22,22:24:50,202.120.140.25,73.201.98.219,443,32507
2016/4/8,19:11:43,202.120.122.173,73.201.98.219,25,91483
2016/4/22,13:52:36,202.120.112.95,73.201.98.219,80,72074
2016/4/19,15:55:49,202.120.109.156,73.201.98.219,25,42494
2016/4/6,15:14:16,202.120.97.69,72.163.71.6,80,6111
2016/4/26,06:21:16,202.120.94.147,72.163.71.6,80,82312
2016/4/20,07:54:44,202.120.87.84,72.163.71.6,25,17435
2016/4/2,05:04:58,202.120.83.155,72.163.71.6,80,41324
2016/4/23,22:12:31,202.120.81.53,72.163.71.6,8080,22846
2016/4/23,05:53:42,202.120.80.247,72.163.71.6,8080,47683
2016/4/28,14:09:27,202.120.80.240,72.163.71.6,8080,25963
2016/4/22,23:24:26,202.120.50.50,72.163.71.6,8080,57772
2016/4/28,08:29:06,202.120.48.53,72.163.71.6,25,21218
2016/4/26,09:20:40,202.120.254.65,72.163.71.6,25,37334
2016/4/6,10:25:03,202.120.252.81,72.163.71.6,80,32181
2016/4/12,07:42:23,202.120.235.112,72.163.71.6,8080,85027
2016/4/20,19:32:32,202.120.231.76,72.163.71.6,25,95810
2016/4/2,07:40:20,202.120.223.247,72.163.71.6,443,41834
2016/4/28,11:25:28,202.120.195.27,72.163.71.6,25,71570
2016/4/13,05:40:29,202.120.176.145,72.163.71.6,80,28732
2016/4/18,18:07:29,202.120.17.3,72.163.71.6,25,70997
2016/4/14,10:00:24,202.120.166.32,72.163.71.6,80,82272
2016/4/10,11:30:26,202.120.16.184,72.163.71.6,443,436
2016/4/29,11:03:07,202.120.106.149,72.163.71.6,80,20263
2016/4/25,16:16:12,202.120.96.229,69.190.133.107,80,44316
2016/4/13,01:29:40,202.120.95.38,69.190.133.107,443,13298
2016/4/16,04:59:36,202.120.89.7,69.190.133.107,25,76562
2016/4/22,15:50:03,202.120.77.149,69.190.133.107,80,18071
2016/4/5,23:41:58,202.120.76.226,69.190.133.107,80,30143
2016/4/14,07:04:45,202.120.73.187,69.190.133.107,80,31040
2016/4/13,00:31:35,202.120.59.213,69.190.133.107,8080,98029
2016/4/17,22:41:18,202.120.55.224,69.190.133.107,8080,60285
2016/4/8,10:17:28,202.120.48.167,69.190.133.107,443,34019
2016/4/15,16:06:41,202.120.34.136,69.190.133.107,443,46637
2016/4/21,09:55:16,202.120.31.60,69.190.133.107,80,3062
2016/4/8,21:47:57,202.120.30.255,69.190.133.107,80,24446
2016/4/9,15:11:33,202.120.252.55,69.190.133.107,443,35567
2016/4/13,14:53:19,202.120.249.171,69.190.133.107,25,57601
2016/4/19,05:14:08,202.120.242.85,69.190.133.107,80,77787
2016/4/8,20:22:15,202.120.240.55,69.190.133.107,8080,6367
2016/4/29,07:52:35,202.120.240.220,69.190.133.107,8080,49209
2016/4/6,19:46:14,202.120.217.187,69.190.133.107,25,5495
2016/4/25,21:27:07,202.120.213.234,69.190.133.107,443,85190
2016/4/13,11:44:52,202.120.204.85,69.190.133.107,8080,90874
2016/4/15,11:52:15,202.120.195.83,69.190.133.107,443,85235
2016/4/29,16:44:32,202.120.175.218,69.190.133.107,80,88060
2016/4/22,12:51:20,202.120.174.184,69.190.133.107,443,65485
2016/4/14,02:59:46,202.120.172.50,69.190.133.107,443,61027
2016/4/1,14:07:42,202.120.166.60,69.190.133.107,80,62442
2016/4/14,18:17:28,202.120.155.188,69.190.133.107,8080,47389
2016/4/3,03:15:59,202.120.150.159,69.190.133.107,8080,12915
2016/4/9,07:00:15,202.120.134.101,69.190.133.107,25,99835
2016/4/10,06:43:27,202.120.9.51,68.244.27.147,443,20428
2016/4/5,04:05:41,202.120.75.253,68.244.27.147,8080,55291
2016/4/8,19:56:53,202.120.75.145,68.244.27.147,8080,14245
2016/4/28,11:03:31,202.120.64.39,68.244.27.147,25,51824
2016/4/24,20:25:34,202.120.52.190,68.244.27.147,443,78946
2016/4/6,15:22:02,202.120.44.120,68.244.27.147,443,66367
2016/4/21,04:30:55,202.120.21.198,68.244.27.147,8080,11115
2016/4/20,06:12:47,202.120.208.145,68.244.27.147,8080,32207
2016/4/1,02:43:48,202.120.202.174,68.244.27.147,443,14645
2016/4/5,13:43:52,202.120.2.79,68.244.27.147,443,99901
2016/4/27,03:44:15,202.120.195.6,68.244.27.147,443,82969
2016/4/17,18:40:00,202.120.158.12,68.244.27.147,80,57958
2016/4/25,07:47:46,202.120.150.145,68.244.27.147,25,67699
2016/4/5,08:29:27,202.120.147.211,68.244.27.147,80,58993
2016/4/4,13:45:31,202.120.141.5,68.244.27.147,443,21752
2016/4/8,02:35:30,202.120.123.16,68.244.27.147,25,46348
2016/4/6,03:57:37,202.120.69.177,63.112.212.46,80,9828
2016/4/24,15:10:45,202.120.67.199,63.112.212.46,8080,73813
2016/4/2,05:19:03,202.120.49.206,63.112.212.46,25,47752
2016/4/28,07:31:36,202.120.27.59,63.112.212.46,80,94627
2016/4/22,11:58:20,202.120.231.6,63.112.212.46,443,95960
2016/4/10,01:12:24,202.120.230.36,63.112.212.46,80,71715
2016/4/12,12:39:50,202.120.212.84,63.112.212.46,80,91843
2016/4/20,01:54:39,202.120.210.122,63.112.212.46,25,52949
2016/4/10,03:32:34,202.120.200.126,63.112.212.46,8080,96642
2016/4/22,20:59:14,202.120.198.107,63.112.212.46,8080,90213
2016/4/16,17:48:22,202.120.178.203,63.112.212.46,80,21236
2016/4/24,23:14:16,202.120.168.249,63.112.212.46,80,69625
2016/4/19,17:23:03,202.120.166.97,63.112.212.46,80,21956
2016/4/15,22:12:14,202.120.15.14,63.112.212.46,8080,8099
2016/4/19,02:22:14,202.120.141.1,63.112.212.46,80,79628
2016/4/21,19:19:16,202.120.14.47,63.112.212.46,443,92186
2016/4/25,06:42:38,202.120.135.92,63.112.212.46,8080,78676
2016/4/24,12:11:28,202.120.134.161,63.112.212.46,443,88033
2016/4/6,04:37:46,202.120.125.44,63.112.212.46,443,2447
2016/4/13,07:16:37,202.120.119.243,63.112.212.46,8080,14485
2016/4/5,02:46:50,202.120.113.227,63.112.212.46,80,14779
2016/4/18,01:56:58,202.120.1.151,63.112.212.46,80,83098
2016/4/10,17:58:36,202.120.94.50,61.181.119.56,80,29306
2016/4/23,02:33:44,202.120.9.225,61.181.119.56,25,31231
2016/4/6,03:58:08,202.120.56.46,61.181.119.56,8080,29849
2016/4/10,03:24:47,202.120.39.215,61.181.119.56,80,99462
2016/4/6,14:33:03,202.120.28.182,61.181.119.56,8080,76111
2016/4/19,00:58:05,202.120.250.41,61.181.119.56,25,9960
2016/4/15,13:09:05,202.120.248.83,61.181.119.56,80,41133
2016/4/3,18:29:38,202.120.234.116,61.181.119.56,25,59533
2016/4/21,23:08:29,202.120.228.149,61.181.119.56,8080,12208
2016/4/14,00:24:20,202.120.226.250,61.181.119.56,443,18940
2016/4/22,22:45:00,202.120.216.36,61.181.119.56,8080,74425
2016/4/6,05:53:48,202.120.208.143,61.181.119.56,80,13684
2016/4/15,17:04:27,202.120.204.201,61.181.119.56,25,21334
2016/4/21,09:56:08,202.120.195.11,61.181.119.56,8080,35401
2016/4/10,19:35:59,202.120.188.126,61.181.119.56,443,50543
2016/4/5,05:16:03,202.120.182.251,61.181.119.56,443,41513
2016/4/1,17:41:54,202.120.176.24,61.181.119.56,25,53675
2016/4/7,10:07:27,202.120.154.188,61.181.119.56,443,25714
2016/4/17,05:56:21,202.120.150.249,61.181.119.56,443,29869
2016/4/22,11:42:36,202.120.114.151,61.181.119.56,443,68994
2016/4/28,14:12:03,202.120.106.68,61.181.119.56,80,72004
2016/4/20,19:38:13,202.120.86.63,6.130.81.30,25,25170
2016/4/15,06:54:12,202.120.53.52,6.130.81.30,80,8339
2016/4/13,16:36:39,202.120.48.131,6.130.81.30,8080,71173
2016/4/18,13:51:05,202.120.45.20,6.130.81.30,443,74524
2016/4/24,20:02:06,202.120.41.119,6.130.81.30,25,36882
2016/4/26,07:13:20,202.120.34.45,6.130.81.30,443,91930
2016/4/25,07:18:56,202.120.26.33,6.130.81.30,443,12986
2016/4/19,06:50:10,202.120.252.172,6.130.81.30,8080,61177
2016/4/11,19:02:25,202.120.222.21,6.130.81.30,25,85651
2016/4/30,01:48:04,202.120.205.251,6.130.81.30,25,20768
2016/4/15,02:57:33,202.120.20.81,6.130.81.30,8080,3192
2016/4/28,23:25:37,202.120.191.94,6.130.81.30,80,31314
2016/4/11,23:16:28,202.120.187.182,6.130.81.30,25,68645
2016/4/13,13:02:00,202.120.155.91,6.130.81.30,443,52916
2016/4/20,17:38:20,202.120.144.72,6.130.81.30,25,24727
2016/4/6,15:20:17,202.120.139.144,6.130.81.30,25,34901
2016/4/15,09:31:57,202.120.12.100,6.130.81.30,25,44312
2016/4/22,04:31:08,202.120.113.211,6.130.81.30,8080,81334
2016/4/26,06:26:17,202.120.111.136,6.130.81.30,80,67127
2016/4/23,20:53:43,202.120.86.24,58.96.80.35,25,49988
2016/4/18,05:52:42,202.120.8.220,58.96.80.35,443,83378
2016/4/7,11:45:53,202.120.76.108,58.96.80.35,80,31710
2016/4/8,21:25:33,202.120.56.13,58.96.80.35,25,96346
2016/4/3,02:51:49,202.120.45.60,58.96.80.35,25,70581
2016/4/5,07:01:20,202.120.35.218,58.96.80.35,25,2978
2016/4/7,21:36:19,202.120.191.125,58.96.80.35,443,3355
2016/4/30,07:15:30,202.120.183.61,58.96.80.35,8080,89979
2016/4/15,10:49:12,202.120.173.128,58.96.80.35,8080,97881
2016/4/6,21:36:58,202.120.156.54,58.96.80.35,8080,96785
2016/4/3,02:46:25,202.120.135.1,58.96.80.35,443,52413
2016/4/24,15:32:38,202.120.131.172,58.96.80.35,25,25381
2016/4/11,19:21:48,202.120.116.226,58.96.80.35,443,57100
2016/4/28,05:40:29,202.120.89.18,56.36.136.167,80,84909
2016/4/23,15:41:09,202.120.82.39,56.36.136.167,443,73505
2016/4/19,11:02:31,202.120.81.44,56.36.136.167,443,93062
2016/4/15,06:44:25,202.120.68.2,56.36.136.167,443,30641
2016/4/28,22:42:33,202.120.61.255,56.36.136.167,8080,45655
2016/4/29,07:46:03,202.120.55.28,56.36.136.167,80,84235
2016/4/23,05:30:43,202.120.23.155,56.36.136.167,25,38045
2016/4/21,03:14:38,202.120.205.221,56.36.136.167,80,34459
2016/4/17,08:28:37,202.120.178.182,56.36.136.167,25,96955
2016/4/11,19:14:07,202.120.167.114,56.36.136.167,443,4739
2016/4/28,01:24:57,202.120.164.251,56.36.136.167,443,1115
2016/4/23,10:02:34,202.120.149.3,56.36.136.167,25,59788
2016/4/11,10:38:02,202.120.149.128,56.36.136.167,8080,59046
2016/4/16,10:24:39,202.120.141.116,56.36.136.167,8080,45873
2016/4/4,16:03:57,202.120.139.81,56.36.136.167,80,45280
2016/4/17,10:17:54,202.120.125.117,56.36.136.167,8080,1188
2016/4/14,20:17:37,202.120.12.213,56.36.136.167,80,51365
2016/4/15,20:06:45,202.120.87.125,54.25.212.45,8080,53723
2016/4/23,01:49:43,202.120.83.83,54.25.212.45,8080,53564
2016/4/8,11:55:38,202.120.77.179,54.25.212.45,8080,14020
2016/4/13,15:41:39,202.120.75.231,54.25.212.45,80,9522
2016/4/14,04:19:30,202.120.49.242,54.25.212.45,80,10643
2016/4/1,09:36:09,202.120.33.119,54.25.212.45,443,32030
2016/4/18,18:33:01,202.120.27.110,54.25.212.45,443,90172
2016/4/24,06:40:19,202.120.26.159,54.25.212.45,25,46223
2016/4/10,15:52:02,202.120.252.28,54.25.212.45,80,75332
2016/4/15,14:13:06,202.120.24.160,54.25.212.45,25,78057
2016/4/13,21:18:58,202.120.233.236,54.25.212.45,25,53644
2016/4/12,21:18:13,202.120.214.96,54.25.212.45,80,29287
2016/4/22,02:36:00,202.120.201.240,54.25.212.45,8080,97464
2016/4/17,09:47:36,202.120.180.112,54.25.212.45,80,12061
2016/4/10,08:40:54,202.120.178.162,54.25.212.45,8080,63846
2016/4/18,22:31:05,202.120.168.17,54.25.212.45,80,85226
2016/4/12,15:04:12,202.120.161.91,54.25.212.45,80,82065
2016/4/13,13:25:22,202.120.14.120,54.25.212.45,25,23447
2016/4/26,17:37:53,202.120.121.156,54.25.212.45,443,40018
2016/4/8,18:41:46,202.120.117.242,54.25.212.45,25,3633
2016/4/16,21:57:07,202.120.97.188,5.150.217.135,80,87093
2016/4/3,21:57:26,202.120.96.244,5.150.217.135,80,70
2016/4/11,23:14:58,202.120.82.237,5.150.217.135,80,28052
2016/4/7,07:26:37,202.120.82.123,5.150.217.135,8080,42671
